Cycle	Depth	angle_mean	angle_std	area_convex	area_px	area_um	circularity	cvgrey	datetime_fin	datetime_ini	eccentricity	elongation	esd_px	esd_um	extent	img_fin	img_ini	intgrey	kurtgrey	length	longest_distance	major_px	maxgrey	mean_orientation_particle	meangrey	mediangrey	mingrey	minor_px	orientation	perim_px	perimmajor	rangegrey	rayleigh_statistics	rmsd	roll_correction	seq	sinusoity_index	skewgrey	solidity	speed	stdgrey	step_length_mean	step_length_std	track_id	vertical_speed	vig_name	vx
moose22_c2	500	157.0417648932389	25.743426529708373	40.0	35.0	130553.68490955945	0.94835857404143	51.05810897483114	2022-09-12 15:07:55.000	2022-09-12 15:07:10.000	0.6618665732848861	1.3340062700926851	6.6755811781245455	407.7083692270069	0.625	20220912-150755-1	20220912-150710-1	3596.0	-1.0765666748763858	5	9.536329570645623	8.162730526804921	204.0	66.51875546364539	97.18918918918921	101.0	23.0	6.111329403088771	mix	22.485281374238568	2.7546274252716043	181.0	0.025753342269359717	27.28826332663707	3.0	20220912-150000	1.3553448025644776	0.20602800912452574	0.875	15.872422290190153	55.53855068549141	2066.721652368509	629.1632349384788	moose22_c2500_20220912-150710-1-10	5.631987353286465	moose22_c2500_20220912-150710-1-10.png	12.63653443561208
moose22_c2	500	240.10893235128816	18.433626315089725	149.0	111.0	484411.8291667493	0.4761792246301741	61.1863839848409	2022-09-12 15:08:43.000	2022-09-12 15:08:36.500	0.42180947066869867	1.1029194911250055	11.888212206450687	785.3485193419539	0.5803571428571429	20220912-150843-1	20220912-150836-2	7903.0	0.009059435862965426	9	0.0	14.270850381740134	207.0	305.6049859782051	74.91538461538461	62.0	23.0	12.292527870324195	desc	56.66295090390226	4.048098220617635	184.0	-2.7669765072987804e-05	15.179689909433508	3.0	20220912-150000	1.1174849958552622	0.9419138184757004	0.7692307692307693	187.91536764876238	46.32768351395752	1767.1439376692065	605.5436636776437	moose22_c2500_20220912-150836-2-15	154.6895135481906	moose22_c2500_20220912-150836-2-15.png	107.93627636256359
moose22_c2	500	233.00156994351133	2.8734481774590375	81.5	61.0	245393.2026022845	0.6471792071305262	55.731771565760354	2022-09-12 15:08:46.000	2022-09-12 15:08:44.000	0.697377147356793	1.3959932463694622	8.812923024107548	558.9671990040528	0.531439393939394	20220912-150846-1	20220912-150844-1	4506.5	-0.6578056970875166	4	2.557653590282371	11.098934155192973	180.0	291.6335749240699	76.30369863013699	68.75	23.5	8.216001198694611	desc	35.38477631085024	3.1036904643473613	156.5	0.033787834325988836	28.568094328339715	3.0	20220912-150000	1.454775011531361	0.578088196323806	0.7566971080669711	401.2160666526456	41.84542512006229	3095.8029834309077	164.02711071694287	moose22_c2500_20220912-150844-1-24	320.043615647511	moose22_c2500_20220912-150844-1-24.png	257.1672912786885
moose22_c2	500	223.3377959657288	4.784029549246606	112.0	76.0	315015.61136938015	0.4789713129384267	60.78310269053689	2022-09-12 15:08:50.500	2022-09-12 15:08:47.000	0.5353161711940554	1.1839198667721755	9.83698151873187	633.3169298261482	0.4679487179487179	20220912-150850-2	20220912-150847-1	6457.0	-0.7378191781524541	5	0.0	12.461545989265435	200.0	308.2184745220482	74.46153846153847	59.0	23.0	10.444148191472644	desc	43.76345596729059	3.6611287168501527	177.0	0.007423725293010594	30.235019121613355	3.0	20220912-150000	1.4470002409861364	0.7150600278437664	0.6576576576576577	352.34028221033117	51.92156614039021	3568.2609598847203	842.3964441681587	moose22_c2500_20220912-150847-1-28	241.03305621252295	moose22_c2500_20220912-150847-1-28.png	268.5328311988764
moose22_c2	500	66.58514524509279	4.895015577585469	133.0	99.0	425372.5072531984	0.4522167380415328	61.73312196344115	2022-09-12 15:09:14.500	2022-09-12 15:09:09.500	0.5038518837478847	1.1576887007718488	11.227230955528665	735.9355253538974	0.5439560439560439	20220912-150914-2	20220912-150909-2	6977.0	-0.5389717367959181	7	9.62147835581297	12.785794860034692	194.0	321.14281069831287	71.41025641025641	61.0	23.0	11.558930684755113	asc	51.45584412271573	3.820278053414724	171.0	-1.050090243357249e-06	51.507608809457906	3.0	20220912-150000	1.2153611851487958	0.8189466366557101	0.7218045112781954	456.5312755516831	43.79180542318645	4403.272333638917	666.9057883525402	moose22_c2500_20220912-150909-2-38	417.7129753391117	moose22_c2500_20220912-150909-2-38.png	207.44485998506352
moose22_c2	500	211.79763348930013	8.365081735696085	60.0	51.0	200229.26633967823	0.7176495504418179	56.41060618843831	2022-09-12 15:10:26.000	2022-09-12 15:10:23.000	0.9187954132125624	2.5333511027458897	8.058239062071396	504.9156562407108	0.6538461538461539	20220912-151026-1	20220912-151023-1	4431.0	-0.718597740886282	5	0.0	13.138098689826148	210.0	277.15964111665124	88.56	76.0	24.0	5.186055211844033	desc	30.55634918610405	2.384939939527824	187.0	0.008349090605142065	18.42600598807701	3.0	20220912-150000	1.3831404403058416	0.5015801317776575	0.8769230769230769	247.19280531276658	49.010861964896094	2145.7708794510986	247.13382736217602	moose22_c2500_20220912-151023-1-49	128.92009337216518	moose22_c2500_20220912-151023-1-49.png	212.4297379860413
moose22_c2	500	177.57830114471008	32.204417820415586	44.0	38.0	143338.2182688581	1.0357162325289029	47.08424259251542	2022-09-12 15:19:21.000	2022-09-12 15:19:17.500	0.6432339015435565	1.3060461321454528	6.955796338302048	427.204737534347	0.6428571428571429	20220912-151921-1	20220912-151917-2	3636.0	-0.9709620105978348	5	0.0	8.294431514951508	182.0	13.286480753246794	94.15789473684212	95.0	25.0	6.350795206082176	mix	21.313708498984766	2.6323384232351503	156.0	0.04295285924886776	12.972018652612855	3.0	20220912-150000	1.7228779526776363	0.14986847123472258	0.8636363636363636	118.62053318250533	44.805133634439706	1201.3074830404184	156.74808827056307	moose22_c2500_20220912-151917-2-61	4.361623600556556	moose22_c2500_20220912-151917-2-61.png	103.09846153846172
moose22_c2	500	141.7664173593956	17.153092487002162	48.0	46.0	178140.83453612382	1.0574860649294893	48.79714667898921	2022-09-12 16:08:49.000	2022-09-12 16:08:46.000	0.4553722921500445	1.1328623157371809	7.648965595000253	475.92493387891085	0.717828798185941	20220912-160849-1	20220912-160846-1	4366.5	-1.2172299240892	4	5.822157943512282	8.541306064606076	185.0	0.09770361150725647	94.71642145230186	99.0	25.0	6.928106154618718	asc	23.313708498984763	2.8514157354286294	156.5	0.05018674681168872	22.588000233172412	3.0	20220912-160000	2.2627550468086675	0.04254157714091967	0.9455128205128206	164.60070512748888	46.15197132766789	1905.1007537903808	828.549976852289	moose22_c2500_20220912-160846-1-18	98.5086646500696	moose22_c2500_20220912-160846-1-18.png	110.42848776912494
moose22_c2	500	82.12476661153623	2.1792113101207806	49.0	40.0	151938.55304177175	0.7904845666200275	51.03465263046448	2022-09-12 16:09:07.500	2022-09-12 16:09:04.000	0.8370664935515943	1.827815517354056	7.136496464611085	439.8342575364325	0.6190476190476191	20220912-160907-2	20220912-160904-1	3071.0	-0.8968623927346955	5	1.2602545034171688	10.059546273268063	163.0	64.65259013941841	75.72727272727273	71.5	24.0	5.438414638965138	asc	24.899494936611664	2.4394912647467644	139.0	0.007083254108034486	2.6346853844668687	3.0	20220912-160000	1.4814287859219883	0.3973795040176393	0.8627450980392157	148.6065117016755	37.885811470045105	1504.9849275343295	260.65849336113536	moose22_c2500_20220912-160904-1-22	147.08983740497973	moose22_c2500_20220912-160904-1-22.png	28.72115880398633
moose22_c2	500	204.06132214920152	14.16649211515969	48.0	43.0	164948.3598589058	0.9432876901559158	44.05219143107522	2022-09-12 16:09:14.000	2022-09-12 16:09:10.000	0.5426538306122121	1.1905379291947384	7.399277020331919	458.2780538183834	0.671875	20220912-160914-1	20220912-160910-1	3869.0	-1.2063137167745308	5	0.5842712709731924	8.29200520453798	165.0	346.1991872117293	89.97674418604653	93.0	24.0	7.1988898432149195	mix	24.14213562373095	2.786913827790733	141.0	0.011244363662780657	17.216841923140638	3.0	20220912-160000	1.3536885067103577	0.062255162945827724	0.9	126.15929380746256	41.14291128864796	1460.1770116604464	239.92573992252403	moose22_c2500_20220912-160910-1-27	49.65759757577674	moose22_c2500_20220912-160910-1-27.png	115.06259999999956
moose22_c2	500	329.5786601276622	14.985196906284132	42.0	38.5	145484.5527190608	0.927390156922964	44.954106688697884	2022-09-12 16:09:52.500	2022-09-12 16:09:45.000	0.7910516512136028	1.635410757267179	7.0012609891239865	430.3796067144735	0.6908068783068784	20220912-160952-2	20220912-160945-1	3835.0	-1.1017367217125082	10	7.739908884472709	9.125034734529935	179.0	60.03298309780893	100.53971232020012	109.0	23.5	5.551321464367024	desc	22.174621202458752	2.4905252771237283	154.5	-2.53590850734958e-05	13.042717842437932	3.0	20220912-160000	1.1610982986013267	-0.13900767876299133	0.901219512195122	132.89007503256954	46.838083622562856	1281.7329767801848	107.19249967937115	moose22_c2500_20220912-160945-1-38	65.03654126789864	moose22_c2500_20220912-160945-1-38.png	107.34780631578948
moose22_c2	500	259.0685988411346	37.13691584388384	66.5	48.5	189130.9238951553	0.5910453247544507	44.18099569270544	2022-09-12 16:28:24.000	2022-09-12 16:28:21.000	0.926180709898932	2.6972009769954512	7.857311717961851	490.6471732831652	0.4324252136752136	20220912-162824-1	20220912-162821-1	3728.5	-0.9368582578012372	4	59.07126958365899	14.391876536170633	146.5	350.6719037131922	76.74212765957445	75.5	25.0	5.24860257075704	desc	31.902543263816604	2.2246823299250083	119.5	0.1410372786137571	44.69880579080245	3.0	20220912-160000	1.3654206131727398	0.12078486952202662	0.7291855203619909	617.7801506216044	32.7154084633599	7150.233224787087	1805.2324750091586	moose22_c2500_20220912-162821-1-91	514.3154419147024	moose22_c2500_20220912-162821-1-91.png	231.71515331307026
moose22_c2	500	259.8418139281011	23.83439653886108	69.0	47.5	184771.0886495107	0.5211350581634567	46.97251697925552	2022-09-12 16:28:33.000	2022-09-12 16:28:31.000	0.972569624974138	4.302104536785995	7.771529849545254	484.6085839169171	0.4309752747252748	20220912-162833-1	20220912-162831-1	3144.5	-0.8252841593863798	4	0.0	18.31880952358893	138.0	0.5447508787926267	65.53933566433568	62.0	23.5	4.246413219285999	desc	34.263455967290604	1.842684837327762	114.5	0.06901091067498166	19.88737088950328	3.0	20220912-160000	1.6253898967744504	0.4738420399742399	0.6737614237614238	415.2118786444295	30.220433220177625	3203.7953599107223	484.41076464770333	moose22_c2500_20220912-162831-1-95	371.9835344339597	moose22_c2500_20220912-162831-1-95.png	182.3075771065181
moose22_c2	500	294.7517271511997	23.356894909099623	64.5	45.0	173797.10027260325	0.5349466834962916	48.73016292922658	2022-09-12 16:28:40.000	2022-09-12 16:28:37.000	0.9637931812112912	3.8114126958515495	7.561903081756077	469.80919394850866	0.48140589569161	20220912-162840-1	20220912-162837-1	2901.0	-1.010072110646025	4	0.0	16.74679291388279	132.5	13.395660994172205	65.96911196911196	59.5	24.0	4.433857604460394	desc	33.003048327204944	2.041265490979241	108.0	0.06734904398492131	35.37708660878493	3.0	20220912-160000	1.6790957239303352	0.3259992592605425	0.7365721997300945	274.6042719700186	33.769216646285855	3178.290184838179	630.4669514290642	moose22_c2500_20220912-162837-1-100	227.98499004875043	moose22_c2500_20220912-162837-1-100.png	108.3133153515055
moose22_c2	500	266.7715322062018	30.838362272826604	60.0	45.0	173690.9744467547	0.5544823830257547	48.86724770730839	2022-09-12 16:28:48.000	2022-09-12 16:28:42.000	0.9674028074143854	3.948782901108004	7.569397566060481	470.266113205271	0.5277777777777778	20220912-162848-1	20220912-162842-1	2862.0	-0.8337388348577641	5	41.7076222732146	17.180475178881785	138.0	15.260091494570984	66.55813953488372	57.5	24.0	4.5062465565190815	desc	31.93502884254441	1.9615769358142359	113.0	0.0385421685563668	47.63623920511369	3.0	20220912-160000	1.3068275476506117	0.3558789283063156	0.7166666666666667	292.0788534510608	34.191688401039464	5070.813427969806	994.0630704446601	moose22_c2500_20220912-162842-1-104	254.8554530337473	moose22_c2500_20220912-162842-1-104.png	110.80561278373408
