datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-08 15:01:39.000,2022-09-08 15:01:36.000,20220908-150000,moose22_c1500_20220908-150136-1-12,-359.237328398727,-2.666666666666136
2022-09-08 15:01:53.000,2022-09-08 15:01:50.000,20220908-150000,moose22_c1500_20220908-150150-1-25,-234.3816805817777,0.8888888888823961
2022-09-08 15:01:58.000,2022-09-08 15:01:56.000,20220908-150000,moose22_c1500_20220908-150156-1-34,-129.98427767275328,0.6666666666660603
2022-09-08 15:02:16.000,2022-09-08 15:02:13.000,20220908-150000,moose22_c1500_20220908-150213-1-46,7.133889000653433,0.11111111111101006
2022-09-08 15:05:13.000,2022-09-08 15:05:11.000,20220908-150000,moose22_c1500_20220908-150511-1-82,-83.40477311867457,0.49999999999954525
2022-09-08 15:06:16.000,2022-09-08 15:06:13.000,20220908-150000,moose22_c1500_20220908-150613-1-103,271.96575116999196,0.33333333333303017
2022-09-08 15:07:30.000,2022-09-08 15:07:27.000,20220908-150000,moose22_c1500_20220908-150727-1-112,-430.16986407112665,-0.11111111111101006
2022-09-08 15:09:19.000,2022-09-08 15:09:17.000,20220908-150000,moose22_c1500_20220908-150917-1-140,-509.08765396988815,1.1666666666656056
2022-09-08 15:11:25.500,2022-09-08 15:11:20.500,20220908-150000,moose22_c1500_20220908-151120-2-154,-45.868068762579966,3.933333333334303
2022-09-08 15:12:16.500,2022-09-08 15:12:11.000,20220908-150000,moose22_c1500_20220908-151211-1-178,132.15350707320155,-0.7272727272720658
2022-09-08 15:13:49.500,2022-09-08 15:13:47.000,20220908-150000,moose22_c1500_20220908-151347-1-199,956.3734561486301,-1.0666666666656965
2022-09-08 15:14:05.000,2022-09-08 15:14:02.000,20220908-150000,moose22_c1500_20220908-151402-1-205,380.26700430511687,-1.1111111111101004
2022-09-08 15:14:31.000,2022-09-08 15:14:29.000,20220908-150000,moose22_c1500_20220908-151429-1-216,-620.7286831748409,1.4999999999986358
2022-09-08 15:15:57.000,2022-09-08 15:15:53.000,20220908-150000,moose22_c1500_20220908-151553-1-226,-7.476618816301329,1.7499999999984084
2022-09-08 15:16:22.000,2022-09-08 15:16:18.000,20220908-150000,moose22_c1500_20220908-151618-1-235,-349.41685932265443,-0.6666666666689025
2022-09-08 15:16:32.000,2022-09-08 15:16:23.000,20220908-150000,moose22_c1500_20220908-151623-1-241,-245.3820722202877,-1.8947806286936002e-12
2022-09-08 15:16:33.000,2022-09-08 15:16:29.000,20220908-150000,moose22_c1500_20220908-151629-1-249,-361.8150105883033,0.5833333333328028
2022-09-08 15:17:16.000,2022-09-08 15:17:14.000,20220908-150000,moose22_c1500_20220908-151714-1-262,694.9144279396126,-1.3333333333321207
