datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-12 15:07:55.000,2022-09-12 15:07:10.000,20220912-150000,moose22_c2500_20220912-150710-1-10,-5.6319873532864655,0.04444444444440402
2022-09-12 15:08:43.000,2022-09-12 15:08:36.500,20220912-150000,moose22_c2500_20220912-150836-2-15,154.6895135481906,0.25641025641002324
2022-09-12 15:08:46.000,2022-09-12 15:08:44.000,20220912-150000,moose22_c2500_20220912-150844-1-24,320.043615647511,0.49999999999954525
2022-09-12 15:08:50.500,2022-09-12 15:08:47.000,20220912-150000,moose22_c2500_20220912-150847-1-28,241.0330562125229,0.19047619047601724
2022-09-12 15:09:14.500,2022-09-12 15:09:09.500,20220912-150000,moose22_c2500_20220912-150909-2-38,-417.7129753391117,0.39999999999963626
2022-09-12 15:10:26.000,2022-09-12 15:10:23.000,20220912-150000,moose22_c2500_20220912-151023-1-49,128.92009337216518,-0.44444444444404024
2022-09-12 15:19:21.000,2022-09-12 15:19:17.500,20220912-150000,moose22_c2500_20220912-151917-2-61,-4.361623600556556,-0.47619047619329125
2022-09-12 16:08:49.000,2022-09-12 16:08:46.000,20220912-160000,moose22_c2500_20220912-160846-1-18,-98.5086646500696,0.22222222222202012
2022-09-12 16:09:07.500,2022-09-12 16:09:04.000,20220912-160000,moose22_c2500_20220912-160904-1-22,-147.08983740497973,0.28571428571402585
2022-09-12 16:09:14.000,2022-09-12 16:09:10.000,20220912-160000,moose22_c2500_20220912-160910-1-27,49.65759757577674,0.08333333333325754
2022-09-12 16:09:52.500,2022-09-12 16:09:45.000,20220912-160000,moose22_c2500_20220912-160945-1-38,65.03654126789864,-0.17777777777913192
2022-09-12 16:28:24.000,2022-09-12 16:28:21.000,20220912-160000,moose22_c2500_20220912-162821-1-91,514.3154419147024,0.22222222222202012
2022-09-12 16:28:33.000,2022-09-12 16:28:31.000,20220912-160000,moose22_c2500_20220912-162831-1-95,371.9835344339597,0.8333333333297333
2022-09-12 16:28:40.000,2022-09-12 16:28:37.000,20220912-160000,moose22_c2500_20220912-162837-1-100,227.98499004875043,-0.5555555555531555
2022-09-12 16:28:48.000,2022-09-12 16:28:42.000,20220912-160000,moose22_c2500_20220912-162842-1-104,254.85545303374732,0.0
2022-09-12 17:05:04.000,2022-09-12 17:05:01.500,20220912-170000,moose22_c2500_20220912-170501-2-17,419.97026443832664,-0.39999999999736247
2022-09-12 17:10:20.000,2022-09-12 17:10:16.500,20220912-170000,moose22_c2500_20220912-171016-2-29,-166.31127227960718,-0.5714285714296758
2022-09-12 17:10:55.000,2022-09-12 17:10:51.000,20220912-170000,moose22_c2500_20220912-171051-1-33,-26.81022887155345,0.3333333333372934
2022-09-12 17:17:36.000,2022-09-12 17:17:29.000,20220912-170000,moose22_c2500_20220912-171729-1-56,109.57331402592344,-0.4761904761908552
2022-09-12 17:26:22.000,2022-09-12 17:26:18.000,20220912-170000,moose22_c2500_20220912-172618-1-89,-831.3016643562959,-0.16666666666651508
2022-09-12 18:00:18.000,2022-09-12 18:00:12.500,20220912-180000,moose22_c2500_20220912-180012-2-1,-51.757373259830246,0.12121212121201097
